methods: {'agent_full_qwen14b': 1429, 'agent_full_qwen72b': 1431, 'hybrid_static': 1319, 'hybrid_rules': 1319, 'cons_aiwp': 1319, 'cons_bc': 1431}
                  stratum             method  lead    n  track_km  track_med_km  vmax_mae_kt  vmax_bias_kt  n_storms
  intensity=Cat3+(>=96kt)      hybrid_static    48  138      63.2          52.5         18.1          -4.2        28
  intensity=Cat3+(>=96kt)       hybrid_rules    48  138      63.2          52.5         18.1          -4.2        28
  intensity=Cat3+(>=96kt)          cons_aiwp    48  138      63.2          52.5         47.8         -47.8        28
  intensity=Cat3+(>=96kt)            cons_bc    48  138      71.7          61.8         18.1          -4.2        28
  intensity=Cat3+(>=96kt) agent_full_qwen14b    72  125     123.6          99.1         16.4          -6.5        24
  intensity=Cat3+(>=96kt) agent_full_qwen72b    72  125     130.2         114.4         16.6          -7.9        24
  intensity=Cat3+(>=96kt)      hybrid_static    72  125     122.4          95.2         16.9          -3.9        24
  intensity=Cat3+(>=96kt)       hybrid_rules    72  125     122.4          95.2         16.9          -3.9        24
  intensity=Cat3+(>=96kt)          cons_aiwp    72  125     122.4          95.2         39.9         -39.8        24
  intensity=Cat3+(>=96kt)            cons_bc    72  125     134.6         114.5         16.9          -3.9        24
          land=open-ocean agent_full_qwen14b    24  902      66.1          45.4         12.2          -3.1       138
          land=open-ocean agent_full_qwen72b    24  902      67.8          48.0         12.2          -2.6       138
          land=open-ocean      hybrid_static    24  902      62.1          42.4         11.4          -0.1       138
          land=open-ocean       hybrid_rules    24  902      62.1          42.4         11.0           0.7       138
          land=open-ocean          cons_aiwp    24  902      62.1          42.4         27.0         -26.6       138
          land=open-ocean            cons_bc    24  902      68.9          49.6         11.4          -0.1       138
          land=open-ocean agent_full_qwen14b    48  810     115.6          75.8         16.5          -2.0       123
          land=open-ocean agent_full_qwen72b    48  810     119.1          80.0         16.2          -1.8       123
          land=open-ocean      hybrid_static    48  810     108.7          67.9         16.4          -0.1       123
          land=open-ocean       hybrid_rules    48  810     108.7          67.9         16.3          -0.1       123
          land=open-ocean          cons_aiwp    48  810     108.7          67.9         27.9         -27.5       123
          land=open-ocean            cons_bc    48  810     121.7          83.4         16.4          -0.1       123
          land=open-ocean agent_full_qwen14b    72  683     195.8         118.2         18.3          -0.8       105
          land=open-ocean agent_full_qwen72b    72  683     201.2         125.7         17.7          -2.0       105
          land=open-ocean      hybrid_static    72  683     195.7         103.1         18.1          -0.3       105
          land=open-ocean       hybrid_rules    72  683     195.7         103.1         18.1          -0.3       105
          land=open-ocean          cons_aiwp    72  683     195.7         103.1         28.0         -27.5       105
          land=open-ocean            cons_bc    72  683     207.3         130.2         18.1          -0.3       105
   land=near-land(<300km) agent_full_qwen14b    24  415      90.0          54.1         13.4           1.8        96
   land=near-land(<300km) agent_full_qwen72b    24  415      92.3          58.5         14.2           1.6        96
   land=near-land(<300km)      hybrid_static    24  415      94.2          49.8         13.4           3.7        96
   land=near-land(<300km)       hybrid_rules    24  415      94.2          49.8         14.1           5.2        96
   land=near-land(<300km)          cons_aiwp    24  415      94.2          49.8         24.3         -24.1        96
   land=near-land(<300km)            cons_bc    24  415      93.7          55.4         13.4           3.7        96
   land=near-land(<300km) agent_full_qwen14b    48  326     168.9          88.1         17.5           4.6        77
   land=near-land(<300km) agent_full_qwen72b    48  326     170.6          86.7         17.0           2.5        77
   land=near-land(<300km)      hybrid_static    48  326     173.5          76.2         16.6           4.1        77
   land=near-land(<300km)       hybrid_rules    48  326     173.5          76.2         16.6           4.1        77
   land=near-land(<300km)          cons_aiwp    48  326     173.5          76.2         24.6         -24.3        77
   land=near-land(<300km)            cons_bc    48  326     175.4          91.6         16.6           4.1        77
   land=near-land(<300km) agent_full_qwen14b    72  252     263.7         123.4         19.1           6.6        60
   land=near-land(<300km) agent_full_qwen72b    72  252     267.1         135.0         17.1           2.4        60
   land=near-land(<300km)      hybrid_static    72  252     274.0         115.9         17.2           5.3        60
   land=near-land(<300km)       hybrid_rules    72  252     274.0         115.9         17.2           5.3        60
   land=near-land(<300km)          cons_aiwp    72  252     274.0         115.9         23.0         -22.5        60
